ID,Education,Experience,Income
1,1,1,49
2,1,19,34
3,1,15,11
4,2,9,100
5,2,8,45
6,2,13,29
7,2,27,72
8,3,24,22
9,2,10,81
10,3,9,180
11,3,39,105
12,2,5,45
13,3,23,114
14,2,32,40
15,1,41,112
16,3,30,22
17,3,14,130
18,1,18,81
19,3,21,193
20,2,28,21
21,2,31,25
22,3,27,63
23,1,5,62
24,1,18,43
25,1,11,152
26,1,19,29
27,3,16,83
28,1,20,158
29,3,30,48
30,2,13,119
31,3,35,35
32,2,16,29
33,3,28,41
34,3,6,18
35,3,5,50
36,1,24,81
37,1,35,121
38,3,25,71
39,3,18,141
40,3,13,80
41,3,32,84
42,1,9,60
43,2,7,132
44,1,15,45
45,1,20,104
46,1,31,52
47,2,14,43
48,3,12,194
49,3,26,81
50,1,16,49
51,2,8,8
52,1,37,131
53,1,6,72
54,3,26,190
55,3,5,44
56,1,17,139
57,2,30,29
58,3,31,131
59,1,2,93
60,1,5,188
61,2,24,39
62,1,21,125
63,1,18,22
64,2,17,32
65,1,23,105
66,1,35,131
67,1,36,105
68,3,23,45
69,1,21,60
70,1,29,20
71,1,18,115
72,2,29,69
73,1,20,130
74,3,16,85
75,1,3,135
76,2,7,135
77,3,32,12
78,2,20,29
79,3,30,133
80,1,26,19
81,1,36,41
82,2,22,40
83,3,16,82
84,2,9,50
85,3,22,18
86,3,2,109
87,2,16,42
88,1,22,78
89,1,41,51
90,3,-1,113
91,2,30,118
92,3,10,29
93,2,19,34
94,3,34,64
95,1,39,121
96,3,12,48
97,1,15,80
98,1,28,161
99,1,23,94
100,3,41,15
101,1,23,74
102,2,36,30
103,3,23,44
104,2,18,22
105,1,32,38
106,2,0,35
107,1,17,69
108,1,18,43
109,3,7,32
110,1,17,49
111,2,14,9
112,2,38,45
113,1,15,82
114,1,34,92
115,3,14,39
116,2,40,81
117,2,29,35
118,3,33,61
119,1,16,73
120,1,7,112
121,3,29,12
122,3,26,38
123,2,32,73
124,2,13,84
125,1,15,78
126,1,35,80
127,1,5,115
128,2,8,82
129,1,14,74
130,3,16,70
131,1,4,81
132,2,34,149
133,3,1,51
134,2,4,39
135,2,29,98
136,1,33,45
137,2,32,49
138,1,25,128
139,1,34,42
140,3,35,18
141,3,25,31
142,1,11,58
143,3,9,48
144,1,1,54
145,2,23,70
146,1,35,124
147,2,19,84
148,3,25,83
149,1,28,163
150,2,22,42
151,1,22,118
152,3,0,132
153,1,32,24
154,1,36,22
155,3,29,58
156,1,0,60
157,1,0,15
158,1,17,83
159,3,6,79
160,2,35,41
161,3,0,134
162,1,35,80
163,1,12,52
164,1,4,70
165,1,27,92
166,1,1,43
167,2,1,21
168,3,9,23
169,1,26,13
170,3,1,112
171,1,1,138
172,1,28,11
173,1,13,171
174,1,34,42
175,2,17,168
176,2,20,85
177,2,25,44
178,2,3,65
179,1,29,24
180,1,37,11
181,3,27,38
182,2,12,10
183,1,0,135
184,1,3,148
185,2,26,63
186,3,14,115
187,1,23,45
188,3,21,159
189,1,40,169
190,1,29,112
191,1,36,93
192,3,25,29
193,2,23,85
194,1,24,21
195,1,29,144
196,1,10,13
197,1,24,165
198,1,31,9
199,1,3,59
200,3,11,158
201,3,6,29
202,3,9,20
203,2,3,68
204,1,34,65
205,2,31,61
206,2,12,91
207,1,25,31
208,2,10,71
209,1,16,73
210,1,39,172
211,1,26,20
212,1,18,55
213,1,22,69
214,1,33,155
215,2,28,94
216,1,14,92
217,1,3,125
218,1,14,74
219,3,20,72
220,3,30,61
221,1,6,25
222,2,19,83
223,1,2,104
224,3,25,41
225,3,27,58
226,3,13,93
227,2,-1,39
228,1,23,148
229,3,22,53
230,1,24,71
231,2,22,92
232,3,10,61
233,2,19,38
234,1,37,58
235,2,1,80
236,3,8,71
237,3,18,89
238,3,38,83
239,1,32,28
240,2,3,52
241,1,26,70
242,3,22,71
243,3,16,75
244,3,39,170
245,1,17,78
246,2,11,25
247,3,14,60
248,2,29,120
249,1,29,99
250,3,1,55
251,2,6,29
252,2,28,170
253,1,40,53
254,1,21,138
255,3,41,134
256,3,40,42
257,3,0,99
258,1,41,18
259,1,9,24
260,1,30,55
261,1,27,58
262,3,16,111
263,3,23,33
264,2,1,74
265,1,19,38
266,3,23,23
267,1,38,61
268,1,22,81
269,1,39,129
270,3,13,33
271,1,36,63
272,2,14,70
273,1,3,45
274,3,16,65
275,1,5,74
276,3,24,50
277,3,5,22
278,3,2,30
279,1,26,21
280,1,14,155
281,3,8,64
282,3,31,65
283,3,9,71
284,2,36,40
285,3,19,69
286,2,13,69
287,2,25,45
288,2,12,62
289,3,19,172
290,2,15,24
291,1,25,80
292,2,16,8
293,1,5,38
294,3,19,93
295,1,9,55
296,3,34,64
297,1,9,122
298,3,25,70
299,1,19,81
300,3,15,159
301,1,9,70
302,1,39,150
303,1,21,152
304,1,25,195
305,1,23,22
306,1,35,22
307,1,29,79
308,3,18,33
309,1,8,128
310,1,38,91
311,1,32,39
312,1,26,121
313,3,6,21
314,1,9,41
315,3,37,45
316,3,-2,51
317,2,31,165
318,2,16,119
319,3,2,110
320,2,39,20
321,2,34,64
322,2,20,101
323,1,39,101
324,1,34,99
325,1,30,158
326,2,28,89
327,3,27,80
328,1,32,114
329,2,35,49
330,1,4,191
331,2,30,78
332,1,6,28
333,2,33,42
334,1,38,140
335,2,23,45
336,1,32,122
337,2,12,65
338,3,27,68
339,1,3,153
340,2,13,89
341,1,34,91
342,2,6,55
343,1,19,118
344,3,5,22
345,3,24,63
346,2,27,12
347,2,19,50
348,3,0,43
349,1,15,173
350,1,2,60
351,3,14,113
352,2,4,155
353,2,28,91
354,2,29,55
355,1,20,173
356,3,19,71
357,3,30,24
358,2,14,42
359,1,6,141
360,3,6,32
361,1,10,55
362,1,19,153
363,1,32,113
364,2,0,30
365,3,24,29
366,2,32,174
367,3,24,35
368,2,8,98
369,3,37,30
370,1,6,58
371,1,12,25
372,1,34,19
373,2,30,44
374,1,25,20
375,1,5,98
376,1,7,90
377,1,21,61
378,2,5,40
379,3,23,38
380,2,0,28
381,3,33,34
382,3,29,73
383,1,41,133
384,1,18,53
385,3,25,21
386,1,9,40
387,2,5,41
388,2,5,82
389,3,30,100
390,1,20,155
391,1,19,45
392,3,32,9
393,3,29,48
394,3,28,18
395,1,9,80
396,1,35,64
397,1,24,29
398,2,2,48
399,1,30,23
400,1,3,84
401,1,10,179
402,2,2,30
403,1,28,93
404,2,30,39
405,2,36,60
406,1,11,133
407,1,19,125
408,3,40,58
409,1,36,89
410,2,22,82
411,1,23,110
412,3,36,54
413,3,20,89
414,1,7,42
415,2,28,41
416,2,8,38
417,1,15,85
418,2,29,83
419,3,0,33
420,1,33,50
421,3,22,58
422,2,3,115
423,1,20,145
424,1,19,161
425,1,30,38
426,1,3,28
427,1,18,75
428,1,7,35
429,1,38,24
430,2,13,78
431,3,26,113
432,1,13,75
433,1,17,91
434,1,28,31
435,2,6,45
436,1,26,80
437,3,35,50
438,2,9,31
439,2,32,113
440,1,23,29
441,1,39,59
442,2,27,43
443,3,28,122
444,1,24,29
445,3,40,91
446,3,32,65
447,1,23,22
448,3,23,71
449,2,4,60
450,3,37,60
451,1,25,69
452,3,-2,48
453,2,13,21
454,2,28,53
455,3,24,29
456,2,4,60
457,2,39,42
458,3,3,69
459,1,24,20
460,1,10,200
461,1,36,141
462,1,30,81
463,3,4,183
464,2,22,149
465,3,19,83
466,2,42,35
467,3,0,13
468,1,20,39
469,3,10,21
470,3,23,10
471,2,6,84
472,1,24,30
473,1,19,31
474,2,39,182
475,1,34,114
476,2,19,152
477,2,34,53
478,2,39,24
479,1,20,150
480,1,36,132
481,3,29,68
482,1,9,53
483,2,32,173
484,2,5,30
485,1,1,113
486,2,34,15
487,1,30,84
488,2,13,88
489,1,13,43
490,3,28,43
491,1,10,90
492,1,18,34
493,1,36,38
494,1,24,173
495,1,17,160
496,2,0,44
497,3,24,83
498,3,22,94
499,3,8,43
500,2,25,42
501,1,33,34
502,2,26,39
503,2,19,70
504,3,5,39
505,3,10,44
506,2,12,69
507,3,25,44
508,3,40,32
509,3,22,15
510,1,28,118
511,2,26,62
512,2,5,82
513,1,14,54
514,3,6,48
515,3,1,74
516,3,16,113
517,2,27,81
518,2,27,43
519,2,4,34
520,3,9,48
521,2,37,54
522,2,24,75
523,1,11,72
524,1,31,39
525,1,-1,75
526,1,38,79
527,1,2,205
528,1,8,65
529,1,39,122
530,2,15,82
531,1,30,21
532,3,6,50
533,1,37,39
534,1,2,101
535,3,28,41
536,1,25,132
537,2,-1,43
538,3,20,131
539,2,5,11
540,3,32,21
541,3,-1,109
542,1,6,141
543,1,14,81
544,1,38,54
545,1,10,164
546,1,19,28
547,3,2,68
548,3,14,44
549,3,23,61
550,2,36,35
551,2,34,54
552,1,34,14
553,1,3,52
554,1,28,101
555,1,2,149
556,1,8,35
557,3,34,21
558,1,15,118
559,2,5,38
560,1,25,24
561,3,18,59
562,3,33,41
563,2,3,85
564,1,27,12
565,3,7,32
566,1,29,79
567,3,28,175
568,1,8,28
569,1,9,41
570,1,14,70
571,2,25,161
572,2,9,53
573,1,15,128
574,2,28,50
575,2,5,80
576,2,30,93
577,3,-1,48
578,1,28,149
579,2,19,49
580,2,33,88
581,3,22,22
582,1,3,55
583,3,18,72
584,2,-1,38
585,1,16,114
586,3,4,83
587,1,14,101
588,1,24,94
589,1,17,40
590,1,7,128
591,3,3,39
592,1,5,51
593,3,20,79
594,2,7,48
595,1,26,85
596,1,18,41
597,3,22,152
598,1,-2,125
599,3,31,11
600,1,4,103
601,1,30,141
602,1,32,38
603,1,5,135
604,2,38,28
605,1,3,70
606,1,31,41
607,2,8,81
608,3,3,170
609,2,2,55
610,3,11,24
611,2,28,81
612,1,23,32
613,1,40,129
614,1,35,108
615,1,12,180
616,1,37,139
617,3,14,33
618,3,20,74
619,3,37,42
620,3,27,73
621,2,8,115
622,2,17,114
623,1,17,92
624,3,19,34
625,2,6,54
626,3,28,64
627,3,6,42
628,1,19,70
629,2,24,51
630,1,19,71
631,1,7,35
632,2,18,40
633,3,32,165
634,3,31,18
635,1,31,32
636,1,35,35
637,1,16,120
638,3,28,31
639,1,16,35
640,3,36,32
641,3,18,85
642,1,10,139
643,1,24,103
644,1,21,152
645,2,27,33
646,2,9,84
647,1,33,61
648,1,38,64
649,2,25,34
650,3,-1,82
651,3,22,122
652,1,4,58
653,1,9,92
654,2,23,78
655,3,29,129
656,3,25,13
657,3,11,81
658,3,8,23
659,3,26,35
660,2,39,79
661,1,14,165
662,1,38,52
663,2,41,185
664,2,20,49
665,3,30,64
666,3,24,61
667,1,26,112
668,3,39,72
669,1,41,18
670,2,29,41
671,1,-1,61
672,2,41,105
673,1,27,23
674,3,10,22
675,1,23,59
676,2,2,33
677,3,23,11
678,1,21,204
679,3,27,61
680,2,31,103
681,1,36,51
682,3,9,164
683,2,34,12
684,2,16,82
685,1,17,164
686,2,8,48
687,2,-1,38
688,2,22,65
689,1,20,71
690,1,30,18
691,3,34,52
692,2,18,48
693,3,2,30
694,3,15,40
695,1,7,112
696,1,4,115
697,3,27,63
698,3,17,85
699,3,38,59
700,3,20,68
701,1,11,84
702,3,19,62
703,1,9,109
704,1,17,141
705,1,32,129
706,2,36,30
707,1,34,148
708,2,20,25
709,1,10,21
710,1,4,72
711,3,17,59
712,2,37,83
713,2,16,10
714,2,9,84
715,2,23,98
716,1,23,32
717,2,5,31
718,1,34,94
719,3,31,21
720,1,35,110
721,3,32,38
722,3,24,39
723,2,21,132
724,1,24,61
725,1,38,92
726,1,15,119
727,1,33,53
728,2,37,18
729,2,20,114
730,3,28,90
731,1,18,140
732,1,3,90
733,1,1,85
734,1,24,80
735,1,42,53
736,2,7,49
737,3,35,152
738,2,37,138
739,2,10,80
740,2,23,82
741,1,27,195
742,3,37,22
743,1,6,81
744,1,37,40
745,1,20,154
746,2,4,49
747,2,37,85
748,2,32,21
749,1,17,14
750,2,34,60
751,1,5,138
752,3,28,98
753,2,39,22
754,2,23,49
755,1,14,102
756,2,30,45
757,3,31,82
758,2,28,81
759,2,39,35
760,2,28,59
761,2,3,52
762,1,24,84
763,2,6,85
764,1,28,65
765,2,13,89
766,1,21,109
767,1,12,81
768,3,39,38
769,1,19,72
770,2,6,78
771,2,2,172
772,1,18,71
773,3,28,165
774,1,16,120
775,1,29,39
776,2,39,23
777,3,26,135
778,1,31,12
779,2,36,92
780,3,28,192
781,1,7,42
782,3,32,158
783,3,30,194
784,1,20,160
785,1,22,98
786,1,22,164
787,1,21,42
788,3,15,202
789,1,34,10
790,2,3,31
791,1,30,58
792,2,29,65
793,3,16,98
794,1,-2,150
795,3,29,44
796,3,32,15
797,1,6,82
798,3,17,61
799,2,2,38
800,3,3,39
801,1,7,173
802,1,23,8
803,1,12,51
804,3,27,62
805,2,28,34
806,2,29,132
807,3,27,44
808,1,27,162
809,1,39,64
810,3,29,111
811,3,6,41
812,3,33,52
813,2,10,65
814,2,25,130
815,1,8,45
816,2,38,35
817,2,23,65
818,1,15,38
819,2,27,42
820,3,30,45
821,1,25,145
822,3,13,33
823,3,35,60
824,1,9,45
825,1,15,72
826,2,11,34
827,2,21,23
828,3,37,45
829,1,9,28
830,2,30,81
831,2,5,72
832,3,31,49
833,2,10,31
834,3,35,63
835,1,12,150
836,1,33,142
837,1,17,74
838,2,4,24
839,3,20,29
840,1,15,79
841,1,3,94
842,1,33,121
843,1,10,54
844,1,39,73
845,3,23,71
846,2,17,29
847,1,27,93
848,3,14,73
849,2,32,19
850,1,8,58
851,1,20,39
852,2,16,23
853,3,7,29
854,1,2,155
855,2,28,90
856,1,33,113
857,3,38,42
858,1,25,30
859,2,19,19
860,2,37,124
861,2,31,30
862,3,30,28
863,2,23,15
864,3,30,70
865,2,2,10
866,3,34,22
867,1,20,70
868,1,35,61
869,1,15,161
870,1,30,29
871,1,19,35
872,2,28,48
873,1,7,44
874,1,0,88
875,3,4,40
876,2,36,21
877,1,14,58
878,2,11,59
879,3,3,74
880,2,37,84
881,1,31,58
882,1,19,154
883,1,25,185
884,1,26,78
885,2,13,55
886,2,5,30
887,2,29,74
888,1,16,118
889,3,33,182
890,3,-2,82
891,3,29,29
892,1,6,120
893,2,12,53
894,1,32,43
895,1,4,59
896,3,17,84
897,1,24,161
898,2,37,21
899,1,32,63
900,2,3,172
901,1,4,51
902,1,33,24
903,1,33,95
904,1,18,59
905,2,2,51
906,1,22,28
907,1,3,154
908,3,40,15
909,3,36,55
910,1,-1,149
911,3,36,79
912,3,21,68
913,2,10,78
914,2,32,34
915,1,41,195
916,1,28,184
917,1,20,85
918,1,20,200
919,3,16,64
920,2,27,88
921,2,1,42
922,1,5,91
923,1,6,38
924,2,30,28
925,3,30,32
926,3,18,31
927,2,9,22
928,2,40,95
929,1,10,74
930,2,30,22
931,2,4,43
932,3,3,43
933,2,27,112
934,2,23,9
935,3,33,81
936,1,20,131
937,3,32,19
938,2,13,62
939,2,37,19
940,1,32,8
941,3,36,193
942,1,13,129
943,2,29,30
944,2,4,80
945,3,15,22
946,2,32,33
947,3,11,64
948,3,29,60
949,3,4,81
950,2,16,45
951,2,6,112
952,3,34,83
953,1,20,180
954,2,26,28
955,3,12,169
956,1,35,14
957,1,11,43
958,1,32,88
959,3,29,78
960,2,24,68
961,1,22,144
962,1,9,30
963,1,21,120
964,2,14,24
965,3,1,78
966,2,36,135
967,3,32,44
968,2,30,73
969,2,31,90
970,3,15,58
971,1,32,75
972,3,19,174
973,1,16,50
974,3,18,85
975,1,38,54
976,1,38,83
977,1,30,24
978,2,30,45
979,3,26,68
980,3,26,48
981,3,13,114
982,2,12,142
983,2,33,52
984,1,22,142
985,3,25,15
986,1,22,118
987,1,27,101
988,1,36,84
989,2,39,32
990,3,16,64
991,1,10,81
992,3,14,28
993,1,9,93
994,2,15,185
995,2,8,42
996,3,3,45
997,2,6,49
998,1,20,69
999,2,27,94
1000,2,35,18
1001,1,35,8
1002,1,32,55
1003,3,20,85
1004,1,1,62
1005,3,23,65
1006,1,12,138
1007,1,38,103
1008,3,19,99
1009,1,24,152
1010,3,3,25
1011,1,3,98
1012,2,27,39
1013,2,25,40
1014,1,13,58
1015,3,26,192
1016,2,34,62
1017,2,5,69
1018,3,5,40
1019,3,15,61
1020,2,3,30
1021,2,29,29
1022,2,8,41
1023,2,3,118
1024,1,20,109
1025,2,33,122
1026,1,37,50
1027,2,4,43
1028,1,7,108
1029,3,4,110
1030,3,17,20
1031,3,35,112
1032,2,32,25
1033,2,12,42
1034,1,34,29
1035,1,23,84
1036,3,17,81
1037,1,28,55
1038,2,11,40
1039,2,30,145
1040,3,16,175
1041,3,6,78
1042,1,32,51
1043,3,34,50
1044,1,27,21
1045,2,24,79
1046,3,18,84
1047,2,26,34
1048,2,31,73
1049,1,37,90
1050,3,10,23
1051,3,27,145
1052,1,7,54
1053,2,17,49
1054,2,32,51
1055,2,38,8
1056,1,6,62
1057,3,6,25
1058,3,0,63
1059,3,34,24
1060,2,2,11
1061,1,34,23
1062,3,22,33
1063,1,21,83
1064,1,30,39
1065,2,17,138
1066,1,1,113
1067,3,5,125
1068,1,24,195
1069,3,9,105
1070,1,18,75
1071,2,9,40
1072,3,14,61
1073,3,24,75
1074,1,8,122
1075,1,14,75
1076,3,15,59
1077,2,13,24
1078,3,3,175
1079,1,27,39
1080,1,30,145
1081,2,22,24
1082,2,28,20
1083,2,5,85
1084,3,3,65
1085,3,35,191
1086,1,26,11
1087,3,37,40
1088,2,13,54
1089,1,35,95
1090,2,29,94
1091,2,5,79
1092,3,17,48
1093,1,1,70
1094,2,3,40
1095,1,24,44
1096,3,25,43
1097,3,18,29
1098,1,24,188
1099,1,20,114
1100,2,6,52
1101,1,16,13
1102,3,17,95
1103,3,3,84
1104,1,14,49
1105,1,25,181
1106,2,10,182
1107,1,13,70
1108,1,21,79
1109,2,29,61
1110,1,41,121
1111,1,33,34
1112,1,28,183
1113,3,28,51
1114,3,2,70
1115,1,8,39
1116,2,24,84
1117,1,18,122
1118,1,18,145
1119,1,17,98
1120,3,16,79
1121,3,8,38
1122,2,6,49
1123,1,7,38
1124,3,20,91
1125,1,12,29
1126,1,13,172
1127,1,8,104
1128,1,9,58
1129,2,5,171
1130,1,4,73
1131,1,32,191
1132,3,27,90
1133,1,9,55
1134,2,4,28
1135,3,14,42
1136,2,33,9
1137,2,21,65
1138,3,26,134
1139,1,6,83
1140,2,28,38
1141,1,6,13
1142,3,7,143
1143,1,20,75
1144,3,7,120
1145,2,24,91
1146,3,6,99
1147,1,7,71
1148,2,13,111
1149,1,15,108
1150,1,32,158
1151,1,31,81
1152,3,23,12
1153,1,37,21
1154,1,30,55
1155,3,35,42
1156,1,16,81
1157,1,25,13
1158,1,23,132
1159,3,16,99
1160,1,26,23
1161,2,1,40
1162,1,11,181
1163,1,14,112
1164,1,9,138
1165,2,17,94
1166,1,19,113
1167,2,5,112
1168,1,12,190
1169,3,37,38
1170,3,16,32
1171,2,10,104
1172,2,40,43
1173,2,24,45
1174,2,-1,35
1175,2,10,42
1176,2,4,58
1177,1,3,103
1178,2,3,71
1179,2,7,14
1180,3,11,98
1181,2,17,90
1182,1,0,65
1183,1,2,19
1184,2,25,35
1185,1,9,71
1186,1,19,31
1187,2,38,43
1188,2,36,24
1189,3,19,58
1190,1,17,115
1191,1,15,168
1192,1,5,128
1193,1,20,138
1194,2,32,81
1195,3,3,41
1196,2,7,123
1197,1,13,71
1198,3,23,8
1199,1,14,42
1200,1,4,62
1201,1,12,22
1202,2,8,38
1203,2,11,24
1204,1,37,50
1205,2,1,190
1206,1,7,94
1207,3,37,165
1208,2,12,43
1209,2,26,48
1210,2,21,52
1211,1,24,84
1212,1,36,131
1213,1,8,44
1214,1,2,78
1215,2,36,15
1216,3,20,38
1217,3,25,84
1218,1,20,122
1219,1,36,98
1220,2,18,80
1221,1,17,165
1222,1,5,121
1223,2,37,20
1224,1,19,11
1225,3,35,45
1226,2,6,118
1227,1,36,14
1228,2,13,30
1229,1,30,45
1230,1,32,80
1231,2,1,25
1232,1,41,144
1233,3,19,84
1234,1,29,22
1235,1,18,33
1236,3,28,60
1237,2,6,81
1238,3,13,169
1239,3,2,63
1240,3,26,12
1241,1,27,15
1242,3,38,39
1243,2,4,44
1244,1,10,110
1245,2,8,130
1246,3,21,41
1247,3,22,59
1248,1,28,39
1249,2,19,35
1250,2,27,80
1251,2,20,81
1252,3,13,31
1253,3,17,93
1254,1,33,45
1255,3,12,40
1256,3,1,80
1257,3,7,20
1258,3,37,41
1259,1,8,31
1260,2,27,35
1261,3,31,40
1262,3,39,84
1263,3,1,53
1264,3,5,85
1265,1,33,138
1266,3,2,71
1267,3,39,113
1268,2,23,23
1269,1,9,62
1270,3,11,14
1271,3,18,60
1272,1,4,94
1273,2,39,83
1274,3,35,130
1275,1,37,61
1276,1,2,92
1277,3,16,20
1278,1,20,194
1279,1,10,74
1280,3,22,84
1281,2,40,98
1282,1,15,52
1283,2,26,55
1284,1,6,64
1285,1,40,128
1286,2,13,113
1287,2,3,50
1288,2,18,54
1289,1,38,129
1290,1,21,82
1291,2,38,100
1292,1,34,44
1293,2,30,164
1294,1,31,81
1295,1,10,71
1296,3,17,28
1297,1,6,80
1298,2,35,90
1299,2,14,74
1300,3,25,14
1301,2,36,23
1302,1,17,153
1303,3,16,38
1304,2,5,112
1305,1,26,145
1306,2,6,28
1307,3,9,31
1308,1,2,195
